Id,UID,Original,UTCMilliseconds,PCLocalTime,PCTime,ChannelBitmap,SequenceBitmap,UpdateOf,channelMap,startSample,startSeconds,duration,lowFreq,highFreq,amplitude,detectionType,bearingAmbiguity,Fixed Localized,Species,Comments,Deployment_ID,Local_Time,UTC_Time
1,20000001,2017-09-30 15:47:14.053,53,2017-09-30 08:47:14.053,2018-10-24 00:14:32.985,1,,0,1,3169279,132.053291666667,6144,1007.8125,1242.1875,151.48397198608,,,,F,,201,2017-09-30 15:47:14.053000-07:00,2017-09-30 22:47:14.053000+00:00
2,20000002,2017-09-30 15:47:18.299,299,2017-09-30 08:47:18.299,2018-10-24 00:14:33.013,1,,0,1,3271167,136.298625,9216,984.375,1195.3125,157.246757318037,,,,F,,201,2017-09-30 15:47:18.299000-07:00,2017-09-30 22:47:18.299000+00:00
3,20000003,2017-09-30 15:47:22.949,949,2017-09-30 08:47:22.949,2018-10-24 00:14:33.046,1,,0,1,3382783,140.949291666667,6656,3281.25,3679.6875,128.515842550086,,,,F,,201,2017-09-30 15:47:22.949000-07:00,2017-09-30 22:47:22.949000+00:00
4,20000004,2017-09-30 15:47:31.418,418,2017-09-30 08:47:31.418,2018-10-24 00:14:33.112,1,,0,1,3586047,149.418625,6144,2062.5,2367.1875,135.772882342794,,,,F,,201,2017-09-30 15:47:31.418000-07:00,2017-09-30 22:47:31.418000+00:00
5,20000005,2017-09-30 15:47:31.631,631,2017-09-30 08:47:31.631,2018-10-24 00:14:33.112,1,,0,1,3591167,149.631958333333,3584,1593.75,2039.0625,158.083705170611,,,,F,,201,2017-09-30 15:47:31.631000-07:00,2017-09-30 22:47:31.631000+00:00
6,20000006,2017-09-30 15:47:35.151,151,2017-09-30 08:47:35.151,2018-10-24 00:14:33.144,1,,0,1,3675647,153.151958333333,3584,2554.6875,2953.125,140.113111236339,,,,F,,201,2017-09-30 15:47:35.151000-07:00,2017-09-30 22:47:35.151000+00:00
7,20000007,2017-09-30 15:47:39.503,503,2017-09-30 08:47:39.503,2018-10-24 00:14:33.179,1,,0,1,3780095,157.503958333333,5120,1523.4375,1828.125,152.722677027266,,,,F,,201,2017-09-30 15:47:39.503000-07:00,2017-09-30 22:47:39.503000+00:00
8,20000008,2017-09-30 15:47:39.782,782,2017-09-30 08:47:39.782,2018-10-24 00:14:33.180,1,,0,1,3786751,157.781291666667,5120,3093.75,3515.625,130.256053065323,,,,F,,201,2017-09-30 15:47:39.782000-07:00,2017-09-30 22:47:39.782000+00:00
9,20000009,2017-09-30 15:47:44.154,154,2017-09-30 08:47:44.154,2018-10-24 00:14:33.211,1,,0,1,3891711,162.154625,4608,6351.5625,6703.125,132.453860625778,,,,F,,201,2017-09-30 15:47:44.154000-07:00,2017-09-30 22:47:44.154000+00:00
10,20000010,2017-09-30 15:47:45.221,221,2017-09-30 08:47:45.221,2018-10-24 00:14:33.222,1,,0,1,3917311,163.221291666667,6144,1804.6875,2156.25,149.053070065886,,,,F,,201,2017-09-30 15:47:45.221000-07:00,2017-09-30 22:47:45.221000+00:00
11,20000011,2017-09-30 15:47:47.738,738,2017-09-30 08:47:47.738,2018-10-24 00:14:33.295,1,,0,1,3977727,165.738625,7680,1664.0625,2015.625,187.077690100916,,,,F,,201,2017-09-30 15:47:47.738000-07:00,2017-09-30 22:47:47.738000+00:00
12,20000012,2017-09-30 15:47:47.696,696,2017-09-30 08:47:47.696,2018-10-24 00:14:33.295,1,,0,1,3976703,165.695958333333,12800,3515.625,3796.875,177.050232537944,,,,F,,201,2017-09-30 15:47:47.696000-07:00,2017-09-30 22:47:47.696000+00:00
13,20000013,2017-09-30 15:47:48.207,207,2017-09-30 08:47:48.207,2018-10-24 00:14:33.295,1,,0,1,3988991,166.207958333333,3072,4500.0,4921.875,189.968578160211,,,,F,,201,2017-09-30 15:47:48.207000-07:00,2017-09-30 22:47:48.207000+00:00
14,20000014,2017-09-30 15:48:01.626,626,2017-09-30 08:48:01.626,2018-10-24 00:14:33.407,1,,0,1,4311039,179.626625,4096,4617.1875,4968.75,165.880374703655,,,,F,,201,2017-09-30 15:48:01.626000-07:00,2017-09-30 22:48:01.626000+00:00
15,20000015,2017-09-30 15:48:08.645,645,2017-09-30 08:48:08.645,2018-10-24 00:14:33.467,1,,0,1,4479487,186.645291666667,6144,1312.5,1570.3125,159.58913938826,,,,F,,201,2017-09-30 15:48:08.645000-07:00,2017-09-30 22:48:08.645000+00:00
16,20000016,2017-09-30 15:48:09.114,114,2017-09-30 08:48:09.114,2018-10-24 00:14:33.472,1,,0,1,4490751,187.114625,5632,5039.0625,5343.75,143.182022806149,,,,F,,201,2017-09-30 15:48:09.114000-07:00,2017-09-30 22:48:09.114000+00:00
17,20000017,2017-09-30 15:49:13.563,563,2017-09-30 08:49:13.563,2018-10-24 00:14:33.992,1,,0,1,6037503,251.562625,10240,5015.625,5179.6875,162.120493711984,,,,F,,201,2017-09-30 15:49:13.563000-07:00,2017-09-30 22:49:13.563000+00:00
18,20000018,2017-09-30 15:49:13.605,605,2017-09-30 08:49:13.605,2018-10-24 00:14:33.993,1,,0,1,6038527,251.605291666667,9728,5859.375,6070.3125,166.621258874482,,,,F,,201,2017-09-30 15:49:13.605000-07:00,2017-09-30 22:49:13.605000+00:00
19,20000019,2017-09-30 15:49:13.584,584,2017-09-30 08:49:13.584,2018-10-24 00:14:33.993,1,,0,1,6038015,251.583958333333,11776,3539.0625,3773.4375,166.072718428606,,,,F,,201,2017-09-30 15:49:13.584000-07:00,2017-09-30 22:49:13.584000+00:00
20,20000020,2017-09-30 15:49:16.592,592,2017-09-30 08:49:16.592,2018-10-24 00:14:34.018,1,,0,1,6110207,254.591958333333,5632,2625.0,2976.5625,179.987212795381,,,,F,,201,2017-09-30 15:49:16.592000-07:00,2017-09-30 22:49:16.592000+00:00
21,20000021,2017-09-30 15:49:16.678,678,2017-09-30 08:49:16.678,2018-10-24 00:14:34.018,1,,0,1,6112255,254.677291666667,4096,984.375,1476.5625,194.386096932124,,,,F,,201,2017-09-30 15:49:16.678000-07:00,2017-09-30 22:49:16.678000+00:00
22,20000022,2017-09-30 15:49:34.491,491,2017-09-30 08:49:34.491,2018-10-24 00:14:34.148,1,,0,1,6539775,272.490625,6144,1664.0625,2132.8125,151.85130880798,,,,F,,201,2017-09-30 15:49:34.491000-07:00,2017-09-30 22:49:34.491000+00:00
23,20000023,2017-09-30 15:49:35.792,792,2017-09-30 08:49:35.792,2018-10-24 00:14:34.158,1,,0,1,6571007,273.791958333333,6144,3585.9375,3773.4375,132.777255677069,,,,F,,201,2017-09-30 15:49:35.792000-07:00,2017-09-30 22:49:35.792000+00:00
24,20000024,2017-09-30 15:49:58.127,127,2017-09-30 08:49:58.127,2018-10-24 00:14:34.323,1,,0,1,7107071,296.127958333333,7680,1007.8125,1218.75,138.733059363009,,,,F,,201,2017-09-30 15:49:58.127000-07:00,2017-09-30 22:49:58.127000+00:00
25,20000025,2017-09-30 15:49:59.045,45,2017-09-30 08:49:59.045,2018-10-24 00:14:34.328,1,,0,1,7129087,297.045291666667,6656,984.375,1171.875,148.760093367814,,,,F,,201,2017-09-30 15:49:59.045000-07:00,2017-09-30 22:49:59.045000+00:00
26,20000026,2017-09-30 15:49:59.174,174,2017-09-30 08:49:59.174,2018-10-24 00:14:34.328,1,,0,1,7132159,297.173291666667,6144,4125.0,4406.25,129.857609691703,,,,F,,201,2017-09-30 15:49:59.174000-07:00,2017-09-30 22:49:59.174000+00:00
27,20000027,2017-09-30 15:50:01.499,499,2017-09-30 08:50:01.499,2018-10-24 00:14:34.345,1,,0,1,7187967,299.498625,4608,2578.125,2906.25,187.983535165804,,,,F,,201,2017-09-30 15:50:01.499000-07:00,2017-09-30 22:50:01.499000+00:00
28,21000001,2017-09-30 16:00:30.779,779,2017-09-30 09:00:30.779,2018-10-24 00:14:35.719,1,,0,1,690687,28.778625,5120,3914.0625,4265.625,129.113355569429,,,,F,,201,2017-09-30 16:00:30.779000-07:00,2017-09-30 23:00:30.779000+00:00
29,21000002,2017-09-30 16:00:34.746,746,2017-09-30 09:00:34.746,2018-10-24 00:14:35.754,1,,0,1,785919,32.746625,6144,3398.4375,3656.25,152.018471508904,,,,F,,201,2017-09-30 16:00:34.746000-07:00,2017-09-30 23:00:34.746000+00:00
30,21000003,2017-09-30 16:00:35.579,579,2017-09-30 09:00:35.579,2018-10-24 00:14:35.759,1,,0,1,805887,33.578625,4096,1640.625,1992.1875,191.876143412697,,,,F,,201,2017-09-30 16:00:35.579000-07:00,2017-09-30 23:00:35.579000+00:00
31,21000004,2017-09-30 16:00:38.543,543,2017-09-30 09:00:38.543,2018-10-24 00:14:35.784,1,,0,1,877055,36.5439583333333,7168,2062.5,2273.4375,135.327189250051,,,,F,,201,2017-09-30 16:00:38.543000-07:00,2017-09-30 23:00:38.543000+00:00
32,21000005,2017-09-30 16:01:06.554,554,2017-09-30 09:01:06.554,2018-10-24 00:14:36.014,1,,0,1,1549311,64.554625,8192,2250.0,2367.1875,132.133931723945,,,,F,,201,2017-09-30 16:01:06.554000-07:00,2017-09-30 23:01:06.554000+00:00
33,21000006,2017-09-30 16:01:06.491,491,2017-09-30 09:01:06.491,2018-10-24 00:14:36.014,1,,0,1,1547775,64.490625,11776,4007.8125,4148.4375,125.883134928634,,,,F,,201,2017-09-30 16:01:06.491000-07:00,2017-09-30 23:01:06.491000+00:00
34,21000007,2017-09-30 16:01:06.554,554,2017-09-30 09:01:06.554,2018-10-24 00:14:36.018,1,,0,1,1549311,64.554625,10240,3656.25,3773.4375,124.04115005527,,,,F,,201,2017-09-30 16:01:06.554000-07:00,2017-09-30 23:01:06.554000+00:00
35,21000008,2017-09-30 16:01:07.664,664,2017-09-30 09:01:07.664,2018-10-24 00:14:36.024,1,,0,1,1575935,65.6639583333333,7168,1921.875,2109.375,142.594401600746,,,,F,,201,2017-09-30 16:01:07.664000-07:00,2017-09-30 23:01:07.664000+00:00
36,21000009,2017-09-30 16:01:09.094,94,2017-09-30 09:01:09.094,2018-10-24 00:14:36.034,1,,0,1,1610239,67.0932916666667,8192,1312.5,1664.0625,151.590846034404,,,,F,,201,2017-09-30 16:01:09.094000-07:00,2017-09-30 23:01:09.094000+00:00
37,21000010,2017-09-30 16:01:23.067,67,2017-09-30 09:01:23.067,2018-10-24 00:14:36.149,1,,0,1,1945599,81.066625,6144,1617.1875,1828.125,147.124781139206,,,,F,,201,2017-09-30 16:01:23.067000-07:00,2017-09-30 23:01:23.067000+00:00
38,21000011,2017-09-30 16:01:24.774,774,2017-09-30 09:01:24.774,2018-10-24 00:14:36.169,1,,0,1,1986559,82.7732916666667,7168,2578.125,3093.75,135.347251969663,,,,F,,201,2017-09-30 16:01:24.774000-07:00,2017-09-30 23:01:24.774000+00:00
39,21000012,2017-09-30 16:01:34.182,182,2017-09-30 09:01:34.182,2018-10-24 00:14:36.249,1,,0,1,2212351,92.1812916666667,6144,2484.375,2789.0625,135.199895944288,,,,F,,201,2017-09-30 16:01:34.182000-07:00,2017-09-30 23:01:34.182000+00:00
40,21000013,2017-09-30 16:01:36.122,122,2017-09-30 09:01:36.122,2018-10-24 00:14:36.264,1,,0,1,2258943,94.122625,5120,1898.4375,2226.5625,141.907998752065,,,,F,,201,2017-09-30 16:01:36.122000-07:00,2017-09-30 23:01:36.122000+00:00
41,21000014,2017-09-30 16:01:36.592,592,2017-09-30 09:01:36.592,2018-10-24 00:14:36.264,1,,0,1,2270207,94.5919583333333,7168,1242.1875,1523.4375,180.008781842073,,,,F,,201,2017-09-30 16:01:36.592000-07:00,2017-09-30 23:01:36.592000+00:00
42,21000015,2017-09-30 16:01:39.494,494,2017-09-30 09:01:39.494,2018-10-24 00:14:36.289,1,,0,1,2339839,97.4932916666667,8704,1593.75,2015.625,153.787828509504,,,,F,,201,2017-09-30 16:01:39.494000-07:00,2017-09-30 23:01:39.494000+00:00
43,21000016,2017-09-30 16:01:48.730,730,2017-09-30 09:01:48.730,2018-10-24 00:14:36.359,1,,0,1,2561535,106.730625,9728,1968.75,2132.8125,140.148557424888,,,,F,,201,2017-09-30 16:01:48.730000-07:00,2017-09-30 23:01:48.730000+00:00
44,21000017,2017-09-30 16:02:13.349,349,2017-09-30 09:02:13.349,2018-10-24 00:14:36.542,1,,0,1,3152383,131.349291666667,6144,984.375,1171.875,190.279687752016,,,,F,,201,2017-09-30 16:02:13.349000-07:00,2017-09-30 23:02:13.349000+00:00
45,21000018,2017-09-30 16:02:16.954,954,2017-09-30 09:02:16.954,2018-10-24 00:14:36.567,1,,0,1,3238911,134.954625,6144,1664.0625,2062.5,178.413079124682,,,,F,,201,2017-09-30 16:02:16.954000-07:00,2017-09-30 23:02:16.954000+00:00
46,21000019,2017-09-30 16:02:17.168,168,2017-09-30 09:02:17.168,2018-10-24 00:14:36.567,1,,0,1,3244031,135.167958333333,3072,1687.5,2039.0625,176.392989139108,,,,F,,201,2017-09-30 16:02:17.168000-07:00,2017-09-30 23:02:17.168000+00:00
47,21000020,2017-09-30 16:02:18.746,746,2017-09-30 09:02:18.746,2018-10-24 00:14:36.582,1,,0,1,3281919,136.746625,5632,1687.5,1851.5625,176.001917153827,,,,F,,201,2017-09-30 16:02:18.746000-07:00,2017-09-30 23:02:18.746000+00:00
48,21000021,2017-09-30 16:02:26.341,341,2017-09-30 09:02:26.341,2018-10-24 00:14:36.642,1,,0,1,3464191,144.341291666667,4608,7218.75,7523.4375,141.257504871638,,,,F,,201,2017-09-30 16:02:26.341000-07:00,2017-09-30 23:02:26.341000+00:00
49,21000022,2017-09-30 16:02:26.533,533,2017-09-30 09:02:26.533,2018-10-24 00:14:36.647,1,,0,1,3468799,144.533291666667,6144,5859.375,6070.3125,146.592664758256,,,,F,,201,2017-09-30 16:02:26.533000-07:00,2017-09-30 23:02:26.533000+00:00
50,21000023,2017-09-30 16:02:26.533,533,2017-09-30 09:02:26.533,2018-10-24 00:14:36.647,1,,0,1,3468799,144.533291666667,6144,7171.875,7546.875,147.777970892893,,,,F,,201,2017-09-30 16:02:26.533000-07:00,2017-09-30 23:02:26.533000+00:00
51,21000024,2017-09-30 16:02:26.299,299,2017-09-30 09:02:26.299,2018-10-24 00:14:36.647,1,,0,1,3463167,144.298625,12288,8976.5625,9421.875,146.905820927031,,,,F,,201,2017-09-30 16:02:26.299000-07:00,2017-09-30 23:02:26.299000+00:00
