Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	16.113535479	18.635369283	344.3	593.6
2	Spectrogram 1	1	20.043666083	21.910478120	154.3	498.6
3	Spectrogram 1	1	22.762006418	24.137552130	569.9	783.6
4	Spectrogram 1	1	41.159790877	42.797345295	154.3	510.5
5	Spectrogram 1	1	51.836645686	53.572453370	154.3	736.1
6	Spectrogram 1	1	56.683806765	59.434898188	154.3	463.0
7	Spectrogram 1	1	60.875946076	62.939264644	225.6	391.8
8	Spectrogram 1	1	64.085552737	64.773325593	83.1	451.2
9	Spectrogram 1	1	66.464293808	66.922809045	106.9	249.3
10	Spectrogram 1	1	67.348573194	67.839839519	59.4	166.2
11	Spectrogram 1	1	69.477393938	69.935909175	71.2	237.4
12	Spectrogram 1	1	70.296171147	70.689184208	59.4	178.1
13	Spectrogram 1	1	71.049446180	71.376957064	71.2	190.0
14	Spectrogram 1	1	71.868223389	72.130232096	106.9	213.7
15	Spectrogram 1	1	74.193550664	75.405340933	237.4	510.5
16	Spectrogram 1	1	77.894423649	79.662982422	225.6	451.2
17	Spectrogram 1	1	87.195732747	87.752501249	1365.3	1638.4
18	Spectrogram 1	1	110.898314415	111.389580741	83.1	439.3
19	Spectrogram 1	1	112.372113392	112.634122099	106.9	344.3
20	Spectrogram 1	1	115.155955903	115.614471141	190.0	439.3
21	Spectrogram 1	1	124.653771531	125.407046564	47.5	427.4
22	Spectrogram 1	1	131.400495736	131.990015326	154.3	344.3
23	Spectrogram 1	1	138.965997149	140.014031977	106.9	748.0
24	Spectrogram 1	1	141.524398466	142.310424587	118.7	688.6
25	Spectrogram 1	1	144.766756215	146.764572605	59.4	249.3
26	Spectrogram 1	1	154.657584903	155.902126261	166.2	617.4
27	Spectrogram 1	1	157.179418708	158.489462242	83.1	569.9
28	Spectrogram 1	1	159.996012308	160.585531898	95.0	356.2
29	Spectrogram 1	1	162.092081963	162.878108084	59.4	249.3
30	Spectrogram 1	1	165.572225909	167.373535769	166.2	427.4
31	Spectrogram 1	1	168.356068420	169.797116309	653.0	831.1
32	Spectrogram 1	1	170.976155490	172.286199025	653.0	866.7
33	Spectrogram 1	1	173.563491471	174.120259974	166.2	356.2
34	Spectrogram 1	1	177.690128606	178.508905815	130.6	344.3
35	Spectrogram 1	1	179.982704792	182.242529890	118.7	546.1
36	Spectrogram 1	1	192.820254702	193.639031911	225.6	439.3
37	Spectrogram 1	1	195.473092860	197.831171223	273.1	486.8
38	Spectrogram 1	1	219.132581399	220.508127110	118.7	332.4
39	Spectrogram 1	1	341.412422638	342.394955289	617.4	1792.7
40	Spectrogram 1	1	358.246482061	358.770499475	59.4	332.4
41	Spectrogram 1	1	367.580542247	368.333817279	166.2	368.0
42	Spectrogram 1	1	370.266131493	371.052157614	142.5	1116.0
43	Spectrogram 1	1	376.487961552	377.208485496	1792.7	1947.1
44	Spectrogram 1	1	384.577480380	385.265253236	1697.8	1899.6
45	Spectrogram 1	1	398.874819299	400.021107392	201.8	1163.5
46	Spectrogram 1	1	401.298399838	401.920670517	736.1	1187.2
47	Spectrogram 1	1	407.029840303	407.946870778	356.2	878.6
48	Spectrogram 1	1	409.387918666	410.272198052	320.6	890.4
49	Spectrogram 1	1	413.318049271	414.857350424	201.8	534.3
50	Spectrogram 1	1	418.642536207	420.083584095	926.1	1199.1
51	Spectrogram 1	1	469.201947071	470.610243870	273.1	534.3
52	Spectrogram 1	1	474.769632094	475.293649508	807.3	1080.4
53	Spectrogram 1	1	475.752164745	476.276182159	1092.3	1341.6
54	Spectrogram 1	1	476.701946308	477.520723517	700.5	937.9
55	Spectrogram 1	1	480.370068205	481.156094326	807.3	1116.0
56	Spectrogram 1	1	488.477413424	489.296190633	118.7	748.0
57	Spectrogram 1	1	490.966496140	491.850775526	201.8	795.5
58	Spectrogram 1	1	492.898810354	494.143351712	142.5	807.3
59	Spectrogram 1	1	496.796189870	498.531997554	178.1	486.8
60	Spectrogram 1	1	500.759071563	501.217586801	771.7	961.7
61	Spectrogram 1	1	501.970861833	503.673918428	700.5	997.3
62	Spectrogram 1	1	505.619403876	506.208923467	1032.9	1175.4
63	Spectrogram 1	1	507.944731150	510.728573662	130.6	819.2
64	Spectrogram 1	1	513.610669439	514.494948825	831.1	1246.6
65	Spectrogram 1	1	575.536631930	576.191653697	296.8	759.8
66	Spectrogram 1	1	592.665451148	593.385975092	819.2	1068.5
