Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	40.070266589	41.694932875	58.4	321.1
2	Spectrogram 1	1	67.567111783	68.827057066	38.9	311.3
3	Spectrogram 1	1	71.114852449	72.175859004	38.9	369.7
4	Spectrogram 1	1	74.629436661	75.723599670	58.4	311.3
5	Spectrogram 1	1	89.284589694	90.644004342	77.8	350.3
6	Spectrogram 1	1	113.864303069	115.356343537	68.1	369.7
7	Spectrogram 1	1	133.526080782	134.686556701	58.4	360.0
8	Spectrogram 1	1	151.337130528	152.497606447	68.1	369.7
9	Spectrogram 1	1	163.074515537	164.234991456	87.6	272.4
10	Spectrogram 1	1	178.191594966	179.783104797	155.7	418.4
11	Spectrogram 1	1	180.512546804	181.871961451	68.1	321.1
12	Spectrogram 1	1	187.342776498	188.238000778	58.4	661.6
13	Spectrogram 1	1	199.179630871	200.671671338	68.1	301.6
14	Spectrogram 1	1	207.195266914	208.488368652	58.4	350.3
15	Spectrogram 1	1	209.748313935	212.201891592	155.7	340.5
16	Spectrogram 1	1	215.451224165	216.313291991	68.1	389.2
17	Spectrogram 1	1	223.773494327	224.900813791	48.6	272.4
18	Spectrogram 1	1	225.762881616	226.558636532	77.8	291.9
19	Spectrogram 1	1	226.823888171	227.420704358	77.8	457.3
20	Spectrogram 1	1	227.752268906	228.382241548	126.5	467.0
21	Spectrogram 1	1	228.680649641	229.310622283	68.1	330.8
22	Spectrogram 1	1	237.450024288	238.511030843	48.6	369.7
23	Spectrogram 1	1	241.163547229	242.058771509	38.9	379.4
24	Spectrogram 1	1	250.182102942	251.011014312	97.3	369.7
25	Spectrogram 1	1	261.621079857	262.483147682	48.6	447.5
26	Spectrogram 1	1	388.957683935	391.212322863	38.9	262.7
27	Spectrogram 1	1	398.009396102	399.600905934	58.4	369.7
28	Spectrogram 1	1	413.845246638	414.972566102	48.6	369.7
29	Spectrogram 1	1	425.118441279	426.179447834	38.9	340.5
30	Spectrogram 1	1	431.568584680	432.662747689	38.9	428.1
31	Spectrogram 1	1	459.408882906	460.867766918	48.6	369.7
32	Spectrogram 1	1	461.497739560	462.625059024	48.6	282.1
33	Spectrogram 1	1	464.382351130	465.841235142	48.6	311.3
34	Spectrogram 1	1	471.113111460	472.472526107	68.1	321.1
35	Spectrogram 1	1	491.727004126	492.655384861	58.4	398.9
36	Spectrogram 1	1	499.717709739	500.679246929	87.6	340.5
