Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File
1	Spectrogram 1	1	62.184849550	64.155894952	91.9	514.5	Chinitna_HB10.1_191029202054.wav
2	Spectrogram 1	1	171.621374165	173.458789370	128.6	477.8	Chinitna_HB10.1_191029202054.wav
3	Spectrogram 1	1	1654.342960561	1654.944296446	110.3	459.4	Chinitna_HB10.1_191029202054.wav
4	Spectrogram 1	1	1659.287277840	1659.988836372	441.0	643.2	Chinitna_HB10.1_191029202054.wav
5	Spectrogram 1	1	1667.538942488	1668.140278373	128.6	422.7	Chinitna_HB10.1_191029202054.wav
6	Spectrogram 1	1	1673.752746636	1674.287267423	110.3	238.9	Chinitna_HB10.1_191029202054.wav
7	Spectrogram 1	1	2004.714917386	2005.316253271	147.0	404.3	Chinitna_HB10.1_191029202054.wav
8	Spectrogram 1	1	2006.719370337	2007.153668476	165.4	367.5	Chinitna_HB10.1_191029202054.wav
9	Spectrogram 1	1	2009.458789370	2009.959902608	128.6	404.3	Chinitna_HB10.1_191029202054.wav
10	Spectrogram 1	1	2024.291741207	2024.826261994	128.6	385.9	Chinitna_HB10.1_191029202054.wav
11	Spectrogram 1	1	2030.171469864	2030.672583101	128.6	275.7	Chinitna_HB10.1_191029202054.wav
12	Spectrogram 1	1	2036.151421167	2036.852979700	91.9	257.3	Chinitna_HB10.1_191029202054.wav
13	Spectrogram 1	1	2349.327375232	2349.928711117	132.3	415.7	Chinitna_HB10.1_191029202054.wav
14	Spectrogram 1	1	4097.138051898	4099.175912398	56.7	529.1	Chinitna_HB10.1_191029202054.wav
15	Spectrogram 1	1	4214.472158640	4216.944317279	94.5	680.3	Chinitna_HB10.1_191029202054.wav
