Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File
1	Spectrogram 1	1	292.950986289	294.420918453	338.3	656.7	Chinitna_HB13_191101082028.wav
2	Spectrogram 1	1	301.135835839	302.605768003	457.7	835.8	Chinitna_HB13_191101082028.wav
3	Spectrogram 1	1	306.514451257	307.483270184	298.5	796.0	Chinitna_HB13_191101082028.wav
4	Spectrogram 1	1	518.772805749	519.741624675	298.5	935.3	Chinitna_HB13_191101082028.wav
5	Spectrogram 1	1	523.917568323	525.086832545	537.3	935.3	Chinitna_HB13_191101082028.wav
6	Spectrogram 1	1	548.452109943	549.855227009	437.8	835.8	Chinitna_HB13_191101082028.wav
7	Spectrogram 1	1	552.928721534	553.763910264	437.8	716.4	Chinitna_HB13_191101082028.wav
8	Spectrogram 1	1	675.628043175	676.530047003	437.8	935.3	Chinitna_HB13_191101082028.wav
9	Spectrogram 1	1	680.171469864	681.340734085	338.3	756.2	Chinitna_HB13_191101082028.wav
10	Spectrogram 1	1	689.959881774	690.460995012	99.5	696.5	Chinitna_HB13_191101082028.wav
11	Spectrogram 1	1	694.269455619	694.570123562	119.4	656.7	Chinitna_HB13_191101082028.wav
12	Spectrogram 1	1	698.979920054	700.282814472	398.0	716.4	Chinitna_HB13_191101082028.wav
13	Spectrogram 1	1	703.122456153	705.995505382	477.6	796.0	Chinitna_HB13_191101082028.wav
14	Spectrogram 1	1	707.679283361	708.815140033	298.5	616.9	Chinitna_HB13_191101082028.wav
15	Spectrogram 1	1	717.968808510	718.737182141	477.6	736.3	Chinitna_HB13_191101082028.wav
16	Spectrogram 1	1	719.973261461	722.044529510	756.2	915.4	Chinitna_HB13_191101082028.wav
17	Spectrogram 1	1	725.084616486	725.652544822	477.6	935.3	Chinitna_HB13_191101082028.wav
18	Spectrogram 1	1	761.211577673	762.915362681	517.4	716.4	Chinitna_HB13_191101082028.wav
19	Spectrogram 1	1	766.690415739	767.692642214	139.3	597.0	Chinitna_HB13_191101082028.wav
20	Spectrogram 1	1	774.207114305	774.708227543	119.4	835.8	Chinitna_HB13_191101082028.wav
21	Spectrogram 1	1	808.182591824	808.583482415	99.5	696.5	Chinitna_HB13_191101082028.wav
22	Spectrogram 1	1	1044.875265289	1045.677046469	487.5	693.8	Chinitna_HB13_191101082028.wav
