Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File
1	Spectrogram 1	1	23.518914625	24.354103355	421.1	727.3	Iniskin_HB12_191030075427.wav
2	Spectrogram 1	1	28.630269650	29.599088576	191.4	612.4	Iniskin_HB12_191030075427.wav
3	Spectrogram 1	1	34.175922815	34.610220954	134.0	382.8	Iniskin_HB12_191030075427.wav
4	Spectrogram 1	1	38.619126856	39.320685389	114.8	306.2	Iniskin_HB12_191030075427.wav
5	Spectrogram 1	1	44.097964922	44.699300807	114.8	344.5	Iniskin_HB12_191030075427.wav
6	Spectrogram 1	1	97.429813938	98.031149824	172.2	497.6	Iniskin_HB12_191030075427.wav
7	Spectrogram 1	1	244.630269650	245.866348970	229.7	593.3	Iniskin_HB12_191030075427.wav
8	Spectrogram 1	1	250.877481347	251.579039880	134.0	325.4	Iniskin_HB12_191030075427.wav
9	Spectrogram 1	1	254.084606069	254.719349504	134.0	497.6	Iniskin_HB12_191030075427.wav
10	Spectrogram 1	1	279.888634558	280.657008189	401.9	669.9	Iniskin_HB12_191030075427.wav
11	Spectrogram 1	1	284.799544288	285.601325469	153.1	708.1	Iniskin_HB12_191030075427.wav
12	Spectrogram 1	1	288.775042641	289.476601174	191.4	708.1	Iniskin_HB12_191030075427.wav
13	Spectrogram 1	1	291.046755986	291.648091871	153.1	593.3	Iniskin_HB12_191030075427.wav
14	Spectrogram 1	1	293.218246682	293.685952371	95.7	325.4	Iniskin_HB12_191030075427.wav
15	Spectrogram 1	1	302.338507610	303.340734085	153.1	574.2	Iniskin_HB12_191030075427.wav
16	Spectrogram 1	1	307.349639987	308.084606069	95.7	287.1	Iniskin_HB12_191030075427.wav
17	Spectrogram 1	1	311.692621381	313.095738447	76.6	478.5	Iniskin_HB12_191030075427.wav
18	Spectrogram 1	1	317.204866996	318.440946316	153.1	516.7	Iniskin_HB12_191030075427.wav
19	Spectrogram 1	1	324.153637226	324.821788210	191.4	555.0	Iniskin_HB12_191030075427.wav
