Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File
1	Spectrogram 1	1	87.207103888	87.641402028	36.9	424.0	PtGraham_HB1_190916005853.wav
2	Spectrogram 1	1	103.710433185	104.478806816	55.3	368.7	PtGraham_HB1_190916005853.wav
3	Spectrogram 1	1	116.919815632	117.454336419	36.9	239.6	PtGraham_HB1_190916005853.wav
4	Spectrogram 1	1	124.269476452	124.937627436	36.9	276.5	PtGraham_HB1_190916005853.wav
5	Spectrogram 1	1	155.906425529	156.875244455	36.9	313.4	PtGraham_HB1_190916005853.wav
6	Spectrogram 1	1	1633.062351731	1634.097985755	36.9	294.9	PtGraham_HB1_190916005853.wav
7	Spectrogram 1	1	1655.679262528	1656.614673905	36.9	276.5	PtGraham_HB1_190916005853.wav
8	Spectrogram 1	1	1670.946512505	1671.982146529	36.9	294.9	PtGraham_HB1_190916005853.wav
9	Spectrogram 1	1	1745.037850084	1745.973261461	37.6	300.9	PtGraham_HB1_190916005853.wav
10	Spectrogram 1	1	1747.677046469	1748.512235199	37.6	319.7	PtGraham_HB1_190916005853.wav
11	Spectrogram 1	1	1768.222689217	1769.158100594	18.8	338.6	PtGraham_HB1_190916005853.wav
12	Spectrogram 1	1	1782.187044775	1783.089048603	37.6	338.6	PtGraham_HB1_190916005853.wav
13	Spectrogram 1	1	1809.327375232	1810.363009257	37.6	300.9	PtGraham_HB1_190916005853.wav
14	Spectrogram 1	1	1840.576834238	1841.378615419	37.6	338.6	PtGraham_HB1_190916005853.wav
15	Spectrogram 1	1	1859.886397666	1860.922031691	37.6	338.6	PtGraham_HB1_190916005853.wav
16	Spectrogram 1	1	1875.955428823	1876.991062848	18.8	319.7	PtGraham_HB1_190916005853.wav
17	Spectrogram 1	1	1883.204866996	1884.006648177	18.8	244.5	PtGraham_HB1_190916005853.wav
18	Spectrogram 1	1	1899.821819460	1900.957676132	37.6	489.0	PtGraham_HB1_190916005853.wav
19	Spectrogram 1	1	2028.835167896	2029.770579273	18.8	319.7	PtGraham_HB1_190916005853.wav
20	Spectrogram 1	1	2052.020007030	2052.621342915	37.6	413.8	PtGraham_HB1_190916005853.wav
21	Spectrogram 1	1	2067.233842428	2068.069031157	18.8	338.6	PtGraham_HB1_190916005853.wav
22	Spectrogram 1	1	2084.204877413	2085.073473692	37.6	282.1	PtGraham_HB1_190916005853.wav
23	Spectrogram 1	1	2111.579060714	2112.648102287	37.6	112.9	PtGraham_HB1_190916005853.wav
24	Spectrogram 1	1	2125.710454018	2126.579050297	37.6	206.9	PtGraham_HB1_190916005853.wav
25	Spectrogram 1	1	2143.984383421	2145.086832545	37.6	206.9	PtGraham_HB1_190916005853.wav
26	Spectrogram 1	1	2175.033397133	2175.901993411	56.4	319.7	PtGraham_HB1_190916005853.wav
27	Spectrogram 1	1	2193.006658593	2194.008885069	37.6	357.4	PtGraham_HB1_190916005853.wav
28	Spectrogram 1	1	2209.576802988	2210.278361521	56.4	319.7	PtGraham_HB1_190916005853.wav
29	Spectrogram 1	1	2226.761683788	2227.563464968	37.6	395.0	PtGraham_HB1_190916005853.wav
30	Spectrogram 1	1	2281.730502714	2282.398653698	18.8	225.7	PtGraham_HB1_190916005853.wav
31	Spectrogram 1	1	2308.890840200	2309.993289323	37.6	244.5	PtGraham_HB1_190916005853.wav
32	Spectrogram 1	1	2343.681499420	2344.516688150	18.8	188.1	PtGraham_HB1_190916005853.wav
33	Spectrogram 1	1	2367.501081988	2368.369678267	37.6	225.7	PtGraham_HB1_190916005853.wav
34	Spectrogram 1	1	2385.554559066	2386.623600640	18.8	169.3	PtGraham_HB1_190916005853.wav
35	Spectrogram 1	1	2409.106881241	2410.175922815	18.8	206.9	PtGraham_HB1_190916005853.wav
36	Spectrogram 1	1	2429.552301341	2430.387490071	18.8	489.0	PtGraham_HB1_190916005853.wav
37	Spectrogram 1	1	2445.367472624	2446.102438706	56.4	432.6	PtGraham_HB1_190916005853.wav
38	Spectrogram 1	1	2467.182602241	2467.984383421	37.6	263.3	PtGraham_HB1_190916005853.wav
39	Spectrogram 1	1	2470.256096766	2471.191508143	18.8	376.2	PtGraham_HB1_190916005853.wav
40	Spectrogram 1	1	2545.048992878	2545.917589156	37.6	319.7	PtGraham_HB1_190916005853.wav
41	Spectrogram 1	1	2552.198208403	2553.100212231	37.6	300.9	PtGraham_HB1_190916005853.wav
42	Spectrogram 1	1	2571.641402028	2572.677036052	37.6	282.1	PtGraham_HB1_190916005853.wav
43	Spectrogram 1	1	2589.614663488	2590.616889964	37.6	357.4	PtGraham_HB1_190916005853.wav
44	Spectrogram 1	1	2607.634733018	2608.536736846	18.1	470.6	PtGraham_HB1_190916005853.wav
45	Spectrogram 1	1	2626.944296446	2627.913115372	36.2	470.6	PtGraham_HB1_190916005853.wav
46	Spectrogram 1	1	2642.311769070	2643.247180447	36.2	524.9	PtGraham_HB1_190916005853.wav
47	Spectrogram 1	1	2653.950996706	2654.819592984	55.9	465.8	PtGraham_HB1_190916005853.wav
48	Spectrogram 1	1	2685.420908036	2686.189281668	37.3	521.7	PtGraham_HB1_190916005853.wav
49	Spectrogram 1	1	2701.523346743	2702.525573218	37.3	596.3	PtGraham_HB1_190916005853.wav
50	Spectrogram 1	1	2720.746088043	2721.547869223	55.9	764.0	PtGraham_HB1_190916005853.wav
51	Spectrogram 1	1	2747.438719840	2748.340723668	37.3	335.4	PtGraham_HB1_190916005853.wav
52	Spectrogram 1	1	2767.663687616	2768.498876346	37.3	372.7	PtGraham_HB1_190916005853.wav
53	Spectrogram 1	1	2788.610220954	2789.612447429	37.3	335.4	PtGraham_HB1_190916005853.wav
54	Spectrogram 1	1	2803.710433185	2804.812882308	37.3	391.3	PtGraham_HB1_190916005853.wav
55	Spectrogram 1	1	2838.801760347	2839.803986823	55.9	503.1	PtGraham_HB1_190916005853.wav
56	Spectrogram 1	1	2932.436514198	2933.338518026	74.5	391.3	PtGraham_HB1_190916005853.wav
57	Spectrogram 1	1	3006.080153118	3006.982156946	55.9	298.1	PtGraham_HB1_190916005853.wav
58	Spectrogram 1	1	3020.211546423	3021.347403095	55.9	298.1	PtGraham_HB1_190916005853.wav
59	Spectrogram 1	1	3028.496618620	3029.498845096	55.9	298.1	PtGraham_HB1_190916005853.wav
60	Spectrogram 1	1	3045.714906969	3046.416465502	55.9	316.8	PtGraham_HB1_190916005853.wav
61	Spectrogram 1	1	3066.928700701	3067.697074332	55.9	354.0	PtGraham_HB1_190916005853.wav
62	Spectrogram 1	1	3086.251664648	3086.953223181	37.3	391.3	PtGraham_HB1_190916005853.wav
63	Spectrogram 1	1	3111.674809577	3112.576813405	37.3	428.6	PtGraham_HB1_190916005853.wav
64	Spectrogram 1	1	3125.806202881	3126.975467103	55.9	391.3	PtGraham_HB1_190916005853.wav
