Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	10.824045935	11.492196919	579.926	1003.717
2	Spectrogram 1	1	25.921269016	27.073325417	685.000	1767.800
3	Spectrogram 1	1	107.402598377	108.232078986	530.300	1149.000
4	Spectrogram 1	1	118.301051928	119.360943817	574.500	1679.400
5	Spectrogram 1	1	149.624560089	150.546205209	1281.600	2828.400
6	Spectrogram 1	1	180.641412444	181.309563428	557.621	2721.190
7	Spectrogram 1	1	187.516269098	188.602438164	552.400	1480.500
8	Spectrogram 1	1	195.841847323	196.610220954	624.535	1873.606
9	Spectrogram 1	1	221.578530986	222.230232425	707.100	2055.000
10	Spectrogram 1	1	236.378605002	237.481054125	1519.737	1875.000
11	Spectrogram 1	1	241.824764030	242.737146045	516.500	1125.200
12	Spectrogram 1	1	252.002122435	252.617263536	662.069	3185.841
13	Spectrogram 1	1	284.847386144	285.461816153	1383.500	2933.000
14	Spectrogram 1	1	347.255929218	347.640115767	1448.276	1924.138
15	Spectrogram 1	1	363.769006657	364.366399642	553.400	1955.300
16	Spectrogram 1	1	370.770568857	371.772795332	690.789	1361.842
17	Spectrogram 1	1	385.516698566	386.285072197	592.105	1894.737
18	Spectrogram 1	1	423.719386855	424.653492251	701.000	1475.700
19	Spectrogram 1	1	454.295327495	454.914443862	608.700	1069.900
20	Spectrogram 1	1	1381.145837208	1382.231581802	1512.600	8462.069
21	Spectrogram 1	1	1397.291790686	1398.247619464	535.714	1881.500
22	Spectrogram 1	1	1436.035180144	1437.400845212	1494.100	6972.414
23	Spectrogram 1	1	1444.857442511	1445.692630661	786.207	3000.000
24	Spectrogram 1	1	1450.269679814	1451.296158279	765.517	7285.714
25	Spectrogram 1	1	1461.723902260	1462.174903860	2606.897	2917.241
26	Spectrogram 1	1	1468.872091568	1469.988809260	1512.600	6803.571
27	Spectrogram 1	1	1483.688152180	1484.719696489	1438.800	6857.143
28	Spectrogram 1	1	1495.779609247	1496.380944715	1489.655	6868.966
29	Spectrogram 1	1	1502.432997873	1503.699620621	479.600	1567.900
30	Spectrogram 1	1	1531.448862240	1532.300754153	682.759	7924.138
31	Spectrogram 1	1	1548.269514662	1549.422074309	703.448	6931.034
32	Spectrogram 1	1	1576.727003605	1578.247640297	1438.800	3837.838
33	Spectrogram 1	1	1594.502264871	1594.953266472	6206.897	6972.414
34	Spectrogram 1	1	1594.569079923	1596.055714829	600.000	2772.414
35	Spectrogram 1	1	1613.210479422	1614.095778860	620.690	1903.448
36	Spectrogram 1	1	1618.566236000	1619.739298591	590.300	1531.000
37	Spectrogram 1	1	1671.658179912	1673.656730992	1457.300	3615.500
38	Spectrogram 1	1	1688.898682790	1689.917612333	1427.586	1841.379
39	Spectrogram 1	1	1714.800856852	1716.017366205	1475.700	1881.500
40	Spectrogram 1	1	1725.923228080	1727.009397146	516.500	1235.900
41	Spectrogram 1	1	1733.076870151	1733.711613145	662.069	2834.483
42	Spectrogram 1	1	1746.082525932	1747.733502912	1475.700	2914.500
43	Spectrogram 1	1	1755.032559030	1756.249068383	534.900	1346.600
44	Spectrogram 1	1	1764.069485654	1765.763909395	1420.400	1844.600
45	Spectrogram 1	1	1787.617630989	1789.616182069	664.100	1660.200
46	Spectrogram 1	1	1807.168715831	1808.515565472	719.400	1623.300
47	Spectrogram 1	1	1821.994453809	1822.979975826	2565.517	3186.207
48	Spectrogram 1	1	1852.201576304	1853.103579505	765.517	1634.483
49	Spectrogram 1	1	1957.712715618	1958.030087115	579.310	951.724
50	Spectrogram 1	1	3759.145910983	3759.847469028	6041.379	7075.862
51	Spectrogram 1	1	3777.292916597	3778.783469814	1291.200	6848.276
52	Spectrogram 1	1	3787.131432999	3787.599138363	1365.517	3144.828
53	Spectrogram 1	1	3787.749472230	3788.863118739	645.600	1365.517
54	Spectrogram 1	1	3806.130330526	3806.781777283	6082.759	6806.897
55	Spectrogram 1	1	3822.490913001	3823.872334398	534.900	7513.514
56	Spectrogram 1	1	3831.918860488	3833.352603654	553.400	1512.600
57	Spectrogram 1	1	3865.546696416	3866.936992819	1383.500	6910.345
58	Spectrogram 1	1	3871.238222318	3872.976092822	498.000	1604.800
59	Spectrogram 1	1	3884.487438848	3885.619100742	496.552	7135.135
60	Spectrogram 1	1	3890.462739839	3890.930445202	517.241	951.724
61	Spectrogram 1	1	3902.095277886	3902.813539695	455.172	7262.069
62	Spectrogram 1	1	3919.567413976	3920.419305888	620.690	7034.483
63	Spectrogram 1	1	3926.917069692	3927.384775056	579.310	951.724
64	Spectrogram 1	1	3973.772623748	3974.902239576	1383.500	7145.455
65	Spectrogram 1	1	4077.692140961	4078.260068903	1386.207	7531.034
66	Spectrogram 1	1	4091.529575724	4092.114207429	1468.966	4468.966
67	Spectrogram 1	1	4109.385898362	4109.853603726	517.241	7179.310
68	Spectrogram 1	1	4128.373702674	4129.159190542	756.300	7418.182
69	Spectrogram 1	1	4147.429375573	4148.428651113	393.103	3818.400
70	Spectrogram 1	1	4193.208834308	4193.726650960	558.621	3889.655
71	Spectrogram 1	1	4201.169242576	4201.620244177	372.414	3579.310
72	Spectrogram 1	1	4237.744624675	4238.429478958	517.241	1262.069
