Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	35.356454600	37.362763052	383.000	4212.800
2	Spectrogram 1	1	623.356458767	625.476331848	383.000	4936.200
3	Spectrogram 1	1	1662.384165715	1664.004430726	1638.225	3112.628
4	Spectrogram 1	1	1665.690815037	1666.750751577	383.000	5361.700
5	Spectrogram 1	1	1668.965448334	1671.086826234	1474.403	3153.584
6	Spectrogram 1	1	1708.032284220	1708.700434739	491.468	962.457
7	Spectrogram 1	1	1708.600212161	1710.136958357	1597.270	3112.628
8	Spectrogram 1	1	1715.014457150	1715.832941537	470.990	962.457
9	Spectrogram 1	1	1739.057891101	1739.659226568	3010.239	4627.986
10	Spectrogram 1	1	1802.119873081	1803.671923015	340.400	2808.500
11	Spectrogram 1	1	2588.100922726	2588.971584884	340.400	2680.900
12	Spectrogram 1	1	2589.690827537	2591.659281112	340.400	2595.700
13	Spectrogram 1	1	2601.047290471	2603.053598922	255.300	2723.400
14	Spectrogram 1	1	2748.180371474	2748.898633282	245.734	2498.294
15	Spectrogram 1	1	2756.388638108	2757.090196153	450.512	757.679
16	Spectrogram 1	1	2761.783953554	2762.351881496	491.468	2498.294
17	Spectrogram 1	1	2762.769475571	2763.237180934	511.945	839.590
18	Spectrogram 1	1	2765.876375487	2766.260562036	430.034	2703.072
19	Spectrogram 1	1	2775.514446733	2776.082374675	470.990	941.980
