Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	17.872748574	18.547555694	479.200	2338.700
2	Spectrogram 1	1	112.123442120	112.610238586	594.200	1380.200
3	Spectrogram 1	1	137.581381934	138.776754547	5079.900	5233.200
4	Spectrogram 1	1	383.651219423	384.118924787	555.900	2300.300
5	Spectrogram 1	1	496.708278636	497.248124332	632.600	2645.400
6	Spectrogram 1	1	509.857377371	510.898508356	4907.300	5367.400
7	Spectrogram 1	1	509.857377371	511.091310390	575.100	3009.600
8	Spectrogram 1	1	511.862518527	512.518045444	575.100	2798.700
9	Spectrogram 1	1	522.782186931	523.360593034	575.100	2626.200
10	Spectrogram 1	1	535.423870086	536.657803105	4600.600	5367.400
11	Spectrogram 1	1	572.587975937	573.282063260	575.100	2568.700
12	Spectrogram 1	1	585.081547756	585.582833045	536.700	920.100
13	Spectrogram 1	1	585.621393452	586.122678741	4754.000	5156.500
14	Spectrogram 1	1	588.359182338	589.284632102	4639.000	5348.200
15	Spectrogram 1	1	627.482723205	628.331052156	1322.700	2147.000
16	Spectrogram 1	1	630.297632905	630.953159822	709.300	1150.200
17	Spectrogram 1	1	632.842619757	633.690948708	517.600	1418.500
18	Spectrogram 1	1	641.745904680	642.748475258	958.500	1878.600
19	Spectrogram 1	1	643.828166650	644.599374787	536.700	920.100
20	Spectrogram 1	1	650.229194186	651.154643951	690.100	1437.700
21	Spectrogram 1	1	652.697060225	653.159785107	632.600	2626.200
22	Spectrogram 1	1	757.306326336	759.118665458	4600.600	5405.800
23	Spectrogram 1	1	805.738090044	806.200814927	555.900	958.500
24	Spectrogram 1	1	814.761225247	815.378191756	536.700	2396.200
25	Spectrogram 1	1	816.033718673	816.612124776	1111.800	1686.900
26	Spectrogram 1	1	817.344772506	817.846057795	402.600	1744.400
27	Spectrogram 1	1	866.742646919	867.321053022	1054.300	2089.500
28	Spectrogram 1	1	886.138531564	886.716937666	517.600	2185.300
29	Spectrogram 1	1	943.902963996	944.442809692	594.200	2223.600
30	Spectrogram 1	1	980.442957604	981.137044928	325.900	1955.300
31	Spectrogram 1	1	1378.408298829	1379.179506966	440.900	2108.600
32	Spectrogram 1	1	1480.126515043	1481.360448062	4888.200	5309.900
33	Spectrogram 1	1	1482.170216606	1482.787183115	268.400	2147.000
34	Spectrogram 1	1	1540.949303257	1541.566269766	498.400	2147.000
35	Spectrogram 1	1	1564.244831376	1565.093160326	421.700	2415.300
36	Spectrogram 1	1	1634.764736601	1635.574505145	575.100	1974.400
37	Spectrogram 1	1	1636.962679791	1637.849569149	421.700	536.700
38	Spectrogram 1	1	1667.262928748	1668.226938919	2147.000	2396.200
39	Spectrogram 1	1	1696.898578647	1697.824028412	2127.800	2434.500
40	Spectrogram 1	1	1836.041646944	1836.465811420	728.400	977.600
41	Spectrogram 1	1	1956.452449038	1957.030855141	536.700	939.300
42	Spectrogram 1	1	1968.823228728	1970.211403374	498.400	2223.600
43	Spectrogram 1	1	2057.761735218	2058.644772341	1092.700	2147.000
44	Spectrogram 1	1	2140.695990914	2141.505759458	670.900	2434.500
45	Spectrogram 1	1	2254.076645670	2254.847853807	575.100	1821.100
