Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	4.459904719	5.077943950	2025.7	7288.1
2	Spectrogram 1	1	14.432051225	15.133609271	264.2	4844.0
3	Spectrogram 1	1	15.718240975	16.135835050	198.2	1078.9
4	Spectrogram 1	1	19.008882285	20.194849457	1651.4	9269.7
5	Spectrogram 1	1	20.428702139	20.862999977	308.3	1100.9
6	Spectrogram 1	1	21.263890289	22.550080039	946.8	5570.6
7	Spectrogram 1	1	24.454309020	25.824017585	1541.3	7442.2
8	Spectrogram 1	1	30.173714968	31.944313846	320.0	6000.0
9	Spectrogram 1	1	34.917583658	35.752771808	360.0	9000.0
10	Spectrogram 1	1	39.678156111	40.864123283	360.0	8760.0
11	Spectrogram 1	1	41.131383491	42.267239375	960.0	9720.0
12	Spectrogram 1	1	42.317350664	43.102427524	440.0	9740.0
13	Spectrogram 1	1	44.338505986	45.073471557	1560.0	7120.0
14	Spectrogram 1	1	45.424250580	46.459883885	940.0	7360.0
15	Spectrogram 1	1	47.244960746	48.180371474	1600.0	7220.0
16	Spectrogram 1	1	49.433153698	50.602417107	420.0	8680.0
17	Spectrogram 1	1	51.020011182	51.938718147	320.0	8880.0
18	Spectrogram 1	1	52.105755777	53.057870267	1600.0	6740.0
19	Spectrogram 1	1	55.162544404	55.780583635	400.0	5080.0
20	Spectrogram 1	1	56.388638108	56.906454761	220.0	1400.0
21	Spectrogram 1	1	58.326274615	59.144759001	1540.0	7400.0
22	Spectrogram 1	1	61.483285820	63.587959957	980.0	8940.0
23	Spectrogram 1	1	63.988850269	64.957668523	340.0	8360.0
24	Spectrogram 1	1	66.912008793	67.830715757	1660.0	7180.0
25	Spectrogram 1	1	69.150313034	71.087949541	340.0	8960.0
26	Spectrogram 1	1	71.221579645	72.073471557	2080.0	5580.0
27	Spectrogram 1	1	73.777255382	76.783932721	400.0	9520.0
28	Spectrogram 1	1	79.857425111	80.726020787	1620.0	7260.0
29	Spectrogram 1	1	80.909762180	81.928691722	340.0	7240.0
30	Spectrogram 1	1	84.056788628	84.825161725	403.2	9753.6
31	Spectrogram 1	1	84.925384303	86.077943950	460.8	7776.0
32	Spectrogram 1	1	87.146984781	88.149210561	384.0	8928.0
33	Spectrogram 1	1	88.483285820	89.234955155	3091.2	5395.2
34	Spectrogram 1	1	89.836290623	90.938738980	979.2	5817.6
35	Spectrogram 1	1	91.256110477	92.124706153	1612.8	7161.6
36	Spectrogram 1	1	92.375262597	93.260562036	441.6	9216.0
37	Spectrogram 1	1	95.799534011	96.901982368	403.2	10636.8
38	Spectrogram 1	1	97.352983969	98.171468356	1651.2	7718.4
39	Spectrogram 1	1	99.691510788	100.493291411	537.6	9235.2
40	Spectrogram 1	1	103.216004779	104.218230559	1632.0	6067.2
41	Spectrogram 1	1	104.518898293	105.303975153	326.4	7526.4
42	Spectrogram 1	1	107.442056816	108.511097648	998.4	7392.0
43	Spectrogram 1	1	108.711542803	109.429804612	326.4	8217.6
44	Spectrogram 1	1	110.488860686	111.140307442	441.6	5760.0
45	Spectrogram 1	1	111.875273014	112.660349875	326.4	6988.8
46	Spectrogram 1	1	118.038961558	118.890853471	307.2	5894.4
47	Spectrogram 1	1	119.041187338	119.859671724	1766.4	4819.2
48	Spectrogram 1	1	121.095750186	128.796184925	307.2	9792.0
49	Spectrogram 1	1	129.213779000	130.065670912	1574.4	4857.6
50	Spectrogram 1	1	130.082374675	130.917562825	403.2	6662.4
51	Spectrogram 1	1	131.936492367	134.993280995	345.6	8563.2
52	Spectrogram 1	1	139.693757401	140.311796631	403.2	7449.6
53	Spectrogram 1	1	147.895305030	148.747196942	345.6	7219.2
54	Spectrogram 1	1	150.150313034	151.286168917	422.4	9081.6
55	Spectrogram 1	1	151.820689333	152.505543615	288.0	7008.0
56	Spectrogram 1	1	154.359661308	155.178145694	441.6	8601.6
57	Spectrogram 1	1	157.132485964	158.001081640	1728.0	5798.4
58	Spectrogram 1	1	160.940943926	161.625798209	307.2	8966.4
59	Spectrogram 1	1	163.613546005	164.198177710	364.8	5625.6
60	Spectrogram 1	1	168.380837463	169.316248190	307.2	6816.0
61	Spectrogram 1	1	172.957668523	174.093524406	1651.2	5472.0
62	Spectrogram 1	1	179.689285008	180.658103262	364.8	8064.0
63	Spectrogram 1	1	182.128034405	183.063445133	345.6	5721.6
64	Spectrogram 1	1	189.561208937	190.513323427	1036.8	8832.0
65	Spectrogram 1	1	190.837413929	192.023381102	921.6	8755.2
66	Spectrogram 1	1	192.674827858	193.209348274	576.0	5145.6
67	Spectrogram 1	1	194.395315446	195.898654116	364.8	10444.8
68	Spectrogram 1	1	199.874149708	201.060116880	1593.6	6950.4
69	Spectrogram 1	1	202.363010393	203.398643699	1497.6	7622.4
70	Spectrogram 1	1	205.503317836	206.873026401	288.0	8985.6
71	Spectrogram 1	1	212.318453137	213.036714945	364.8	9753.6
72	Spectrogram 1	1	214.757202533	216.043392284	307.2	6201.6
73	Spectrogram 1	1	218.488860686	219.507790228	1708.8	7200.0
74	Spectrogram 1	1	219.942088066	221.027832661	499.2	10579.2
75	Spectrogram 1	1	223.115803035	223.817361080	307.2	9446.4
76	Spectrogram 1	1	226.373036818	227.492188938	883.2	7622.4
77	Spectrogram 1	1	227.709337857	228.527822244	518.4	8563.2
78	Spectrogram 1	1	230.315124884	231.400869478	1958.4	9062.4
79	Spectrogram 1	1	236.478813428	237.748299415	422.4	9657.6
80	Spectrogram 1	1	239.101304218	240.404197731	480.0	9235.2
81	Spectrogram 1	1	256.947642098	257.933164115	422.4	9734.4
82	Spectrogram 1	1	260.071245778	261.156990372	1670.4	10944.0
83	Spectrogram 1	1	262.426476360	263.929815029	518.4	9888.0
84	Spectrogram 1	1	264.714891889	266.067896692	460.8	9043.2
85	Spectrogram 1	1	268.907536400	270.193726151	499.2	9715.2
86	Spectrogram 1	1	272.973269813	274.092421933	940.8	9504.0
87	Spectrogram 1	1	274.459904719	275.746094469	499.2	9523.2
88	Spectrogram 1	1	277.065691746	277.817361080	940.8	5433.6
89	Spectrogram 1	1	278.802883097	279.554552431	1920.0	6931.2
90	Spectrogram 1	1	301.326274615	302.194870290	537.6	4454.4
91	Spectrogram 1	1	320.385268189	322.038940725	364.8	8505.6
92	Spectrogram 1	1	324.344060018	325.763879872	1440.0	6892.8
93	Spectrogram 1	1	329.211574053	330.481060041	710.4	5990.4
94	Spectrogram 1	1	428.836269789	429.738272991	1670.4	7411.2
95	Spectrogram 1	1	443.074594864	443.909783013	1440.0	6739.2
96	Spectrogram 1	1	448.570132888	449.589062430	998.4	5376.0
97	Spectrogram 1	1	451.276142493	452.528924717	1574.4	6758.4
98	Spectrogram 1	1	455.468787004	456.471012783	1516.8	8832.0
99	Spectrogram 1	1	482.900859062	483.802862263	1670.4	7104.0
100	Spectrogram 1	1	484.086826234	485.974351452	1440.0	10195.2
101	Spectrogram 1	1	486.842947128	487.577912700	1977.6	9292.8
102	Spectrogram 1	1	487.845172907	488.797287398	1574.4	5587.2
103	Spectrogram 1	1	490.758346673	491.643646112	1804.8	3916.8
104	Spectrogram 1	1	492.896428336	493.247207359	3072.0	3744.0
105	Spectrogram 1	1	499.010005591	499.995527608	1708.8	5472.0
106	Spectrogram 1	1	504.772803823	505.775029603	1132.8	9235.2
107	Spectrogram 1	1	508.263890289	509.950970351	1017.6	7180.8
108	Spectrogram 1	1	510.335156900	511.738272991	1190.4	7238.4
109	Spectrogram 1	1	529.200424323	530.419799021	1574.4	7641.6
110	Spectrogram 1	1	532.040064031	533.008882285	1209.6	2534.4
111	Spectrogram 1	1	537.652528396	538.788384280	1171.2	3820.8
112	Spectrogram 1	1	539.673683718	540.876354654	940.8	7296.0
113	Spectrogram 1	1	541.670376299	544.643646112	1363.2	7200.0
114	Spectrogram 1	1	545.311796631	546.247207359	1555.2	4838.4
115	Spectrogram 1	1	549.003328253	549.955442743	1612.8	8217.6
116	Spectrogram 1	1	551.375262597	552.544526007	1862.4	5760.0
117	Spectrogram 1	1	555.033386693	556.069019998	1593.6	5625.6
118	Spectrogram 1	1	556.352983969	557.789507586	864.0	8832.0
119	Spectrogram 1	1	561.013333844	562.383042409	921.6	9753.6
120	Spectrogram 1	1	588.414224156	590.418675715	1632.0	5625.6
121	Spectrogram 1	1	590.702639685	591.771680517	1881.6	4780.8
122	Spectrogram 1	1	590.886381078	591.771680517	7372.8	9331.2
123	Spectrogram 1	1	592.022236962	592.523349852	2073.6	7065.6
124	Spectrogram 1	1	603.922035217	604.506666922	1766.4	5452.8
125	Spectrogram 1	1	610.920911911	611.438728563	1881.6	2457.6
