Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	13.045638897	14.265013595	1459.2	7257.6
2	Spectrogram 1	1	388.606889500	389.642522805	1574.4	7276.8
3	Spectrogram 1	1	402.220456338	403.640276192	1881.6	6969.6
4	Spectrogram 1	1	425.946518792	427.232708542	537.6	2515.2
5	Spectrogram 1	1	436.910906320	438.080169729	576.0	1766.4
6	Spectrogram 1	1	446.014457150	446.615792618	5625.6	6124.8
7	Spectrogram 1	1	446.031160913	447.116905508	576.0	2649.6
8	Spectrogram 1	1	457.406423511	458.007758978	5798.4	6086.4
9	Spectrogram 1	1	457.473238563	458.609094446	499.2	1881.6
10	Spectrogram 1	1	471.160339458	472.680381890	556.8	5107.2
11	Spectrogram 1	1	487.229359456	488.064547606	864.0	1708.8
12	Spectrogram 1	1	499.530048023	500.766126485	1190.4	6048.0
13	Spectrogram 1	1	513.043392284	514.028914300	979.2	1728.0
14	Spectrogram 1	1	523.423148107	524.592411516	1132.8	1939.2
15	Spectrogram 1	1	524.074594864	524.559003990	4569.6	5299.2
16	Spectrogram 1	1	544.510016008	545.762798232	1267.2	1728.0
17	Spectrogram 1	1	551.776152909	553.079046423	1190.4	1977.6
18	Spectrogram 1	1	641.445405902	642.447631682	1689.6	5856.0
19	Spectrogram 1	1	652.927610083	654.096873492	1612.8	6163.2
20	Spectrogram 1	1	666.925363470	668.328479561	1132.8	4070.4
21	Spectrogram 1	1	675.511097648	676.864102450	614.4	3379.2
22	Spectrogram 1	1	685.575118968	686.660863563	979.2	1766.4
23	Spectrogram 1	1	701.634154208	702.569564936	499.2	6144.0
24	Spectrogram 1	1	709.234366370	710.386926016	576.0	2918.4
25	Spectrogram 1	1	716.751059716	717.536136577	1228.8	1824.0
26	Spectrogram 1	1	730.304530508	731.189829946	1171.2	1843.2
27	Spectrogram 1	1	748.785611382	749.637503294	499.2	4723.2
28	Spectrogram 1	1	759.927021297	761.096284707	1152.0	3187.2
29	Spectrogram 1	1	787.160873979	788.363544915	576.0	6355.2
30	Spectrogram 1	1	797.032797907	798.168653791	672.0	1651.2
31	Spectrogram 1	1	814.294504083	815.346841152	499.2	3052.8
32	Spectrogram 1	1	836.517227867	837.653083751	499.2	1900.8
33	Spectrogram 1	1	851.784467242	852.820100548	1075.2	1881.6
34	Spectrogram 1	1	908.564010904	909.466014105	1766.4	3148.8
35	Spectrogram 1	1	933.743300738	934.879156621	1305.6	1804.8
36	Spectrogram 1	1	946.254419219	947.273348761	1209.6	3340.8
